,CertainAmount,Outcome1,Outcome2,isHappyBlock,Happiness,Outcome,time,subject_id,InterpHappiness,MoodTarget,Expected,Actual,CertCol,ExpectedCol,RPECol,Gamble,RutC,RutE,RutR,block
88,4.58,13.7,9.16,True,0.77,win,7,10002,0.77,0.9550000000000001,11.43,13.7,0.0,11.43,2.2699999999999996,1.0,0.0,11.43,2.2699999999999996,1
89,0.695,3.5,-2.11,True,0.8,certain,8,10002,0.8,0.9550000000000001,0.6950000000000001,0.695,0.695,0.0,0.0,0.0,0.695,0.0,0.0,1
90,0.155,5.7,0.31,True,,win,9,10002,0.8,0.9550000000000001,3.005,5.7,0.0,3.005,2.6950000000000003,1.0,0.0,3.005,2.6950000000000003,1
91,-0.045,5.5,-0.09,True,0.81,win,10,10002,0.81,0.9550000000000001,2.705,5.5,0.0,2.705,2.795,1.0,-0.0,2.705,2.795,1
92,0.28,3.1,-2.54,True,,certain,11,10002,0.81,0.9550000000000001,0.28,0.28,0.28,0.0,0.0,0.0,0.28,0.0,0.0,1
93,1.635,9.1,3.27,True,0.87,win,12,10002,0.87,0.9550000000000001,6.185,9.1,0.0,6.185,2.915,1.0,0.0,6.185,2.915,1
94,3.985,8.7,7.97,True,0.8,lose,13,10002,0.8,0.9550000000000001,8.334999999999999,7.97,0.0,8.334999999999999,-0.3649999999999993,1.0,0.0,8.334999999999999,-0.3649999999999993,1
95,-2.25,0.9,-5.4,True,,win,14,10002,0.8,0.9550000000000001,-2.25,0.9,0.0,-2.25,3.15,1.0,-0.0,-2.25,3.15,1
96,2.3,11.1,4.6,True,0.81,win,15,10002,0.81,0.9550000000000001,7.85,11.1,0.0,7.85,3.25,1.0,0.0,7.85,3.25,1
97,3.9554166669999997,8.9,7.910833332999999,True,,lose,16,10002,0.81,0.9550000000000001,8.405416666499999,7.910833332999999,0.0,8.405416666499999,-0.4945833334999996,1.0,0.0,8.405416666499999,-0.4945833334999996,1
98,-1.6025,-1.1,-2.105,True,,certain,17,10002,0.81,0.9550000000000001,-1.6025,-1.6025,-1.6025,0.0,0.0,0.0,-1.6025,-0.0,0.0,1
99,3.185,13.3,6.37,True,0.83,win,18,10002,0.83,0.9550000000000001,9.835,13.3,0.0,9.835,3.465,1.0,0.0,9.835,3.465,1
100,2.0675,5.1,4.135,True,,lose,19,10002,0.83,0.9550000000000001,4.6175,4.135,0.0,4.6175,-0.48249999999999993,1.0,0.0,4.6175,-0.48249999999999993,1
101,-0.18958333300000002,0.3,-0.6791666670000001,True,0.78,certain,20,10002,0.78,0.9550000000000001,-0.18958333350000003,-0.18958333300000002,-0.18958333300000002,0.0,0.0,0.0,-0.18958333300000002,-0.0,0.0,1
102,5.06375,11.3,10.1275,True,,lose,21,10002,0.78,0.9550000000000001,10.713750000000001,10.1275,0.0,10.713750000000001,-0.5862500000000015,1.0,0.0,10.713750000000001,-0.5862500000000015,1
103,1.785,11.7,3.57,True,,win,22,10002,0.78,0.9550000000000001,7.635,11.7,0.0,7.635,4.0649999999999995,1.0,0.0,7.635,4.0649999999999995,1
104,1.695416667,2.3,1.090833333,True,0.92,lose,23,10002,0.92,0.9550000000000001,1.6954166665,1.090833333,0.0,1.6954166665,-0.6045833334999999,1.0,0.0,1.6954166665,-0.6045833334999999,1
105,-2.735,0.5,-5.97,True,0.71,certain,24,10002,0.71,0.9550000000000001,-2.735,-2.735,-2.735,0.0,0.0,0.0,-2.735,-0.0,0.0,1
106,-3.55,1.3,-8.4,True,0.63,certain,25,10002,0.63,0.9550000000000001,-3.5500000000000003,-3.55,-3.55,0.0,0.0,0.0,-3.55,-0.0,0.0,1
107,-3.495,2.1,-9.09,True,,certain,26,10002,0.63,0.9550000000000001,-3.495,-3.495,-3.495,0.0,0.0,0.0,-3.495,-0.0,0.0,1
108,-4.675,0.125,-9.475,False,0.6,certain,27,10002,0.6,0.07,-4.675,-4.675,-4.675,0.0,0.0,0.0,-4.675,-0.0,0.0,2
109,-1.545,3.275,-6.365,False,,certain,28,10002,0.6,0.07,-1.5450000000000002,-1.545,-1.545,0.0,0.0,0.0,-1.545,-0.0,0.0,2
110,-3.645,1.475,-8.765,False,,certain,29,10002,0.6,0.07,-3.6450000000000005,-3.645,-3.645,0.0,0.0,0.0,-3.645,-0.0,0.0,2
111,-3.445,1.975,-8.865,False,,certain,30,10002,0.6,0.07,-3.4450000000000003,-3.445,-3.445,0.0,0.0,0.0,-3.445,-0.0,0.0,2
112,1.7483333330000002,2.925,0.571666667,False,0.6,win,31,10002,0.6,0.07,1.7483333335,2.925,0.0,1.7483333335,1.1766666664999998,1.0,0.0,1.7483333335,1.1766666664999998,2
113,-5.845,0.175,-11.865,False,0.38,certain,32,10002,0.38,0.07,-5.845,-5.845,-5.845,0.0,0.0,0.0,-5.845,-0.0,0.0,2
114,-3.395,1.275,-8.065,False,0.35,certain,33,10002,0.35,0.07,-3.3949999999999996,-3.395,-3.395,0.0,0.0,0.0,-3.395,-0.0,0.0,2
115,-3.06,1.575,-7.695,False,,certain,34,10002,0.35,0.07,-3.06,-3.06,-3.06,0.0,0.0,0.0,-3.06,-0.0,0.0,2
116,-1.034166667,-0.225,-1.8433333330000001,False,,win,35,10002,0.35,0.07,-1.0341666665,-0.225,0.0,-1.0341666665,0.8091666665,1.0,-0.0,-1.0341666665,0.8091666665,2
117,-2.31,2.675,-7.295,False,,certain,36,10002,0.35,0.07,-2.31,-2.31,-2.31,0.0,0.0,0.0,-2.31,-0.0,0.0,2
118,-4.835,0.325,-9.995,False,,certain,37,10002,0.35,0.07,-4.835,-4.835,-4.835,0.0,0.0,0.0,-4.835,-0.0,0.0,2
119,-3.41,1.925,-8.745,False,,certain,38,10002,0.35,0.07,-3.4099999999999997,-3.41,-3.41,0.0,0.0,0.0,-3.41,-0.0,0.0,2
120,-5.085,0.425,-10.595,False,,certain,39,10002,0.35,0.07,-5.085,-5.085,-5.085,0.0,0.0,0.0,-5.085,-0.0,0.0,2
121,-2.96,2.725,-8.645,False,0.26,certain,40,10002,0.26,0.07,-2.96,-2.96,-2.96,0.0,0.0,0.0,-2.96,-0.0,0.0,2
122,-3.56,1.625,-8.745,False,0.24,certain,41,10002,0.24,0.07,-3.5599999999999996,-3.56,-3.56,0.0,0.0,0.0,-3.56,-0.0,0.0,2
123,0.677083333,2.775,1.3541666669999999,False,,win,42,10002,0.24,0.07,2.0645833335,2.775,0.0,2.0645833335,0.7104166665,1.0,0.0,2.0645833335,0.7104166665,2
124,-3.41,1.875,-8.695,False,0.36,certain,43,10002,0.36,0.07,-3.41,-3.41,-3.41,0.0,0.0,0.0,-3.41,-0.0,0.0,2
125,-5.33,0.975,-11.635,False,,certain,44,10002,0.36,0.07,-5.33,-5.33,-5.33,0.0,0.0,0.0,-5.33,-0.0,0.0,2
126,0.752083333,3.425,1.5041666669999998,False,0.54,win,45,10002,0.54,0.07,2.4645833335,3.425,0.0,2.4645833335,0.9604166665,1.0,0.0,2.4645833335,0.9604166665,2
127,-5.64,2.375,-13.655,False,0.55,certain,46,10002,0.55,0.07,-5.64,-5.64,-5.64,0.0,0.0,0.0,-5.64,-0.0,0.0,2
128,-0.563333333,0.775,-1.901666667,False,0.57,certain,47,10002,0.57,0.07,-0.5633333334999999,-0.563333333,-0.563333333,0.0,0.0,0.0,-0.563333333,-0.0,0.0,2
129,-8.91,-0.125,-17.695,False,,certain,48,10002,0.57,0.07,-8.91,-8.91,-8.91,0.0,0.0,0.0,-8.91,-0.0,0.0,2
130,-8.695,0.375,-17.765,False,,certain,49,10002,0.57,0.07,-8.695,-8.695,-8.695,0.0,0.0,0.0,-8.695,-0.0,0.0,2
131,-9.68,-0.325,-19.035,False,,certain,50,10002,0.57,0.07,-9.68,-9.68,-9.68,0.0,0.0,0.0,-9.68,-0.0,0.0,2
132,0.856666667,2.325,-0.611666667,False,,certain,51,10002,0.57,0.07,0.8566666665,0.856666667,0.856666667,0.0,0.0,0.0,0.856666667,0.0,0.0,2
133,1.082916667,2.575,-0.40916666700000004,False,,certain,52,10002,0.57,0.07,1.0829166665,1.082916667,1.082916667,0.0,0.0,0.0,1.082916667,0.0,0.0,2
134,-8.835,1.375,-19.045,False,,certain,53,10002,0.57,0.07,-8.835,-8.835,-8.835,0.0,0.0,0.0,-8.835,-0.0,0.0,2
135,2.55,13.5,5.1,True,0.58,win,54,10002,0.58,0.9550000000000001,9.3,13.5,0.0,9.3,4.199999999999999,1.0,0.0,9.3,4.199999999999999,3
136,-3.53,-0.1,-6.96,True,0.48,certain,55,10002,0.48,0.9550000000000001,-3.53,-3.53,-3.53,0.0,0.0,0.0,-3.53,-0.0,0.0,3
137,5.4775,12.9,10.955,True,0.6,lose,56,10002,0.6,0.9550000000000001,11.9275,10.955,0.0,11.9275,-0.9725000000000001,1.0,0.0,11.9275,-0.9725000000000001,3
138,-0.2,7.1,-0.4,True,0.62,win,57,10002,0.62,0.9550000000000001,3.3499999999999996,7.1,0.0,3.3499999999999996,3.75,1.0,-0.0,3.3499999999999996,3.75,3
139,0.45,8.5,0.9,True,0.63,win,58,10002,0.63,0.9550000000000001,4.7,8.5,0.0,4.7,3.8,1.0,0.0,4.7,3.8,3
140,5.792083333,13.1,11.58416667,True,,lose,59,10002,0.63,0.9550000000000001,12.342083335,11.58416667,0.0,12.342083335,-0.7579166649999998,1.0,0.0,12.342083335,-0.7579166649999998,3
141,2.55,13.3,5.1,True,0.67,win,60,10002,0.67,0.9550000000000001,9.2,13.3,0.0,9.2,4.100000000000001,1.0,0.0,9.2,4.100000000000001,3
142,1.715,5.7,-2.27,True,0.72,win,61,10002,0.72,0.9550000000000001,1.715,5.7,0.0,1.715,3.9850000000000003,1.0,0.0,1.715,3.9850000000000003,3
143,2.40875,6.1,4.8175,True,0.71,lose,62,10002,0.71,0.9550000000000001,5.45875,4.8175,0.0,5.45875,-0.6412500000000003,1.0,0.0,5.45875,-0.6412500000000003,3
